state_fips,variable,CBG_count,safegraph_ratio_mean,safegraph_ratio_min,safegraph_ratio_max,census_ratio,safegraph_ratio_mean_to_census,safegraph_ratio_min_to_census,safegraph_ratio_max_to_census
01,Female,1716,0.5041113765753845,0.4916149302982834,0.5181714943933928,0.5041612446251125,0.9999010871020738,0.975114480812268,1.0277892240183955
01,Under 18,1716,0.03833863027797253,0.03217026593903059,0.053572666569140615,0.04453670685719371,0.8608321760498544,0.7223314925861958,1.2028879176208644
01,18–24,1716,0.06654890205767539,0.05722514496416571,0.08341088812575248,0.07155165875274509,0.9300818907307613,0.7997738411895344,1.1657435981182254
01,25–34,1716,0.09604427110897504,0.06906889039260532,0.1256696969799494,0.09434806451995403,1.0179781810856572,0.7320647301460823,1.331979597243047
01,35–44,1716,0.08824052676315515,0.06835271942482209,0.10758254981634294,0.08858328157914724,0.9961307053669507,0.7716209899466234,1.2144791646742084
01,45–54,1716,0.08474404128830501,0.07174260927051752,0.11185656592312905,0.07531047143372432,1.1252623927986234,0.9526246205171264,1.485272416885167
01,55–64,1716,0.089450730123766,0.0748690455746511,0.11568511357190144,0.08105608833489888,1.1035658389309762,0.9236696109157794,1.4272230001270978
01,Over 65,1716,0.20189579934720087,0.17959186036232394,0.22322255265831895,0.18899616212730183,1.0682534347507557,0.9502407791823654,1.1810956907578012
01,White,1716,0.5808918268030858,0.3173557215460645,0.7433330037822885,0.4978350207540893,1.1668360050749087,0.6374716689584311,1.4931312036994389
01,Black,1716,0.09374083277319233,0.05824994929319983,0.13142469835018783,0.09233663222569208,1.0152074048365556,0.6308433380028793,1.423321331765225
01,Asian,1716,0.005184428612162313,0.0,0.01161888823792285,0.004985456657573815,1.0399104772651515,0.0,2.3305564637236684
01,Less High School,1716,0.13707963681720484,0.08534803898669002,0.1915853648378873,0.14287652237047416,0.9594273050806893,0.5973552377302783,1.3409156498162287
01,Bachelor Degree,1716,0.052724819072629665,0.014241971088798691,0.08834602633324043,0.049115214862639305,1.0734925871766081,0.2899706563155483,1.7987506840867555
01,Graduate Degree,1716,0.07479045311038436,0.02901069975959467,0.12727897157558013,0.07299008394849196,1.024665941789612,0.39746083563990825,1.743784425092579
